Dst Port,Flow Duration,Tot Fwd Pkts,TotLen Fwd Pkts,Flow Byts/s,Fwd Pkt Len Max,Protocol,Flow Pkts/s,ACK Flag Cnt,SYN Flag Cnt,Fwd IAT Mean,Init Fwd Win Byts,Active Mean,Label
80,6192788,4,97,52,97,6,1,0,0,19417.3333333333,8192,0.0,0
80,791,3,161,820480,161,6,8849,0,0,217.5,8192,0.0,0
80,3802027,15,407,8894,407,6,11,0,0,3909.42857142857,8192,0.0,0
53,384,1,56,333333,56,17,5208,0,0,0.0,-1,0.0,0
443,132185,10,510,60770,194,6,136,0,0,14687.2222222222,8192,0.0,0
80,5591521,4,97,58,97,6,1,0,0,20686.6666666667,8192,0.0,0
53,35167,2,102,11260,51,17,113,0,0,34828.0,-1,0.0,0
443,60941702,14,1211,75,875,6,0,0,0,4687823.23076923,8192,99093.8333333333,0
53,3796,1,31,28714,31,17,526,0,0,0.0,-1,0.0,0
80,72,2,0,0,0,6,27777,1,0,72.0,278,0.0,0
53,183953,2,74,1826,37,17,21,0,0,28961.0,-1,0.0,0
53,786,1,37,167938,37,17,2544,0,0,0.0,-1,0.0,0
59565,141,2,0,0,0,6,14184,1,0,141.0,259,0.0,0
3389,3050383,12,1148,894,677,6,6,0,0,277307.545454545,8192,0.0,0
53,669,1,39,164424,39,17,2989,0,0,0.0,-1,0.0,0
443,254,3,53,208661,53,6,11811,1,0,127.0,64240,0.0,0
53,259,1,50,880308,50,17,7722,0,0,0.0,-1,0.0,0
445,835297,6,455,949,140,6,13,0,0,167044.6,8192,0.0,0
53,316,1,34,316455,34,17,6329,0,0,0.0,-1,0.0,0
57613,57,2,0,0,0,6,35087,1,0,57.0,257,0.0,0
49761,19,2,37,1947368,37,6,105263,1,0,19.0,40958,0.0,0
80,48773167,85,4520,4297,972,6,4,0,0,510302.821428571,8192,706146.5,0
80,60270993,10,531,15,525,6,0,0,0,6678609.22222222,8192,38332.1666666667,0
49759,17,1,0,0,0,6,117647,1,0,0.0,140,0.0,0
443,115823706,24,1407,130,1043,6,0,0,0,5035813.30434783,8192,49979.25,0
53,25383,2,84,10873,42,17,157,0,0,19563.0,-1,0.0,0
445,15070200,3,0,0,0,6,0,0,0,7535100.0,8192,344279.0,0
53,12926,1,40,10908,40,17,154,0,0,0.0,-1,0.0,0
50959,24,1,0,0,0,6,83333,1,0,0.0,913,0.0,0
3389,3878598,10,1148,703,677,6,4,0,0,430955.33333333296,8192,0.0,0
3389,1694479,8,1148,1610,677,6,8,0,0,242068.428571429,8192,0.0,0
443,5873198,8,353,716,196,6,2,0,0,839028.2857142859,8192,224942.0,0
443,117952193,20,1022,269,250,6,0,0,0,6208010.15789474,8192,241798.5,0
443,9006009,3,0,0,0,6,0,0,0,4503004.5,8192,3000289.0,0
53,270,1,46,814814,46,17,7407,0,0,0.0,-1,0.0,0
53,415,1,44,250602,44,17,4819,0,0,0.0,-1,0.0,0
3389,2138050,8,1148,1276,677,6,7,0,0,305435.714285714,8192,0.0,0
53,575,1,48,222608,48,17,3478,0,0,0.0,-1,0.0,0
51060,2,3,86,43000000,55,6,1500000,1,1,1.0,119,0.0,0
137,119713271,15,750,32,50,17,0,0,0,8550942.78571428,-1,1831726.0,0
53,19982,1,43,11310,43,17,100,0,0,0.0,-1,0.0,0
53,297,1,52,404040,52,17,6734,0,0,0.0,-1,0.0,0
443,105923733,13,42,0,31,6,0,1,0,8826977.75,336,32693.0,0
3389,1802815,8,1128,1502,661,6,8,0,0,257545.0,8192,0.0,0
53,1444,1,45,73407,45,17,1385,0,0,0.0,-1,0.0,0
443,116156461,19,970,149,517,6,0,0,0,6453136.72222222,8192,62046.0833333333,0
53,65952,2,84,5640,42,17,60,0,0,65263.0,-1,0.0,0
53,858,1,37,104895,37,17,2331,0,0,0.0,-1,0.0,0
53,408,1,41,240196,41,17,4901,0,0,0.0,-1,0.0,0
53,260958,2,60,1241,30,17,15,0,0,198547.0,-1,0.0,0
0,112641704,3,0,0,0,0,0,0,0,56320852.0,-1,0.0,0
445,204589,3,0,0,0,6,19,0,0,102294.5,8192,0.0,0
0,112641695,3,0,0,0,0,0,0,0,56320847.5,-1,0.0,0
80,128,2,0,0,0,6,15625,1,0,128.0,255,0.0,0
62308,27,2,0,0,0,6,74074,1,0,27.0,260,0.0,0
53,903,1,59,205980,59,17,2214,0,0,0.0,-1,0.0,0
80,70,2,0,0,0,6,28571,1,0,70.0,278,0.0,0
53,980,1,33,230612,33,17,2040,0,0,0.0,-1,0.0,0
53,34719,2,92,8813,46,17,115,0,0,34357.0,-1,0.0,0
445,104652,3,0,0,0,6,38,0,0,52326.0,8192,0.0,0
53,438,1,51,269406,51,17,4566,0,0,0.0,-1,0.0,0
443,96203052,16,1143,18,566,6,0,0,0,6413536.8,8192,29189.0,0
443,116321296,22,1487,46,453,6,0,0,0,5539109.33333333,8192,71786.6666666667,0
53,28109,1,31,8182,31,17,71,0,0,0.0,-1,0.0,0
80,792,3,161,819444,161,6,8838,0,0,237.0,8192,0.0,0
3389,1425607,8,1144,1911,677,6,10,0,0,203658.14285714304,8192,0.0,0
443,60557269,13,1210,76,875,6,0,0,0,5046439.08333333,8192,117980.833333333,0
445,229896,3,0,0,0,6,17,0,0,114948.0,8192,0.0,0
3389,2973144,10,1144,928,677,6,6,0,0,330349.333333333,8192,0.0,0
80,4122,2,0,0,0,6,485,1,0,4122.0,64240,0.0,0
52676,102,2,0,0,0,6,19607,1,0,102.0,131,0.0,0
80,94,2,0,0,0,6,21276,1,0,94.0,278,0.0,0
80,54290342,2,0,0,0,6,0,1,0,54290342.0,279,0.0,0
53,11614,1,31,8093,31,17,172,0,0,0.0,-1,0.0,0
3389,1537111,8,1148,1775,677,6,9,0,0,219587.285714286,8192,0.0,0
443,54228016,5,123,3,46,6,0,1,1,13557004.0,254,146557.0,0
53,19428,1,31,9470,31,17,102,0,0,0.0,-1,0.0,0
53,319,1,42,313479,42,17,6269,0,0,0.0,-1,0.0,0
53,13043,1,35,10427,35,17,153,0,0,0.0,-1,0.0,0
53,42364,2,86,7600,43,17,94,0,0,27772.0,-1,0.0,0
80,55034494,2,0,0,0,6,0,1,0,55034494.0,279,0.0,0
50211,1,2,0,0,0,6,2000000,1,0,1.0,180,0.0,0
80,4143,2,0,0,0,6,482,1,0,4143.0,278,0.0,0
53,1009,1,37,135777,37,17,1982,0,0,0.0,-1,0.0,0
3389,1952988,10,1148,1397,677,6,8,0,0,216998.666666667,8192,0.0,0
3389,1934148,8,1144,1408,677,6,7,0,0,276306.857142857,8192,0.0,0
3389,1945835,9,1148,1402,677,6,8,0,0,243229.375,8192,0.0,0
