Dst Port,Flow Duration,Tot Fwd Pkts,TotLen Fwd Pkts,Flow Byts/s,Fwd Pkt Len Max,Protocol,Flow Pkts/s,ACK Flag Cnt,SYN Flag Cnt,Fwd IAT Mean,Init Fwd Win Byts,Active Mean,Label
0,112642712,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
0,112642760,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
22,2036636,14,1123,1518,648,6,12,0,0,156664.3077,29200,0.0,0
22,1331500,13,1244,2413,736,6,18,0,0,110958.3333,29200,0.0,0
0,112642748,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
0,112642764,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
0,112639124,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
67,716,1,300,878491,300,17,2793,0,0,0.0,-1,0.0,0
0,112641101,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
0,112641317,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
22,22029,2,0,0,0,6,136,0,0,22029.0,65535,0.0,0
22,3641654,12,1123,849,648,6,6,0,0,331059.4545,29200,0.0,0
0,112640408,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
0,112640615,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
6407,320052,5,3488,12997,1168,6,31,1,1,80013.0,252,0.0,0
80,5940703,7,907,421,323,6,2,0,0,169720.8333,64240,0.0,0
80,54,2,0,0,0,6,37037,1,0,54.0,256,0.0,0
67,855,1,300,735672,300,17,2339,0,0,0.0,-1,0.0,0
57318,200020,2,964,4819,964,6,9,1,0,200020.0,211,0.0,0
0,112640709,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
51195,1215216,5,964,809,964,6,5,0,0,303804.0,8192,0.0,0
51110,56664930,1,0,0,0,6,0,1,0,0.0,211,986.0,0
51109,1297080,5,964,758,964,6,5,0,0,324270.0,8192,0.0,0
0,112640582,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
53533,1791368,5,964,549,964,6,3,0,0,447842.0,8192,0.0,0
54283,28833044,1,0,0,0,6,0,1,0,0.0,211,5975.0,0
54284,28828942,1,0,0,0,6,0,1,0,0.0,211,2040.0,0
53731,1314023,5,964,748,964,6,5,0,0,328505.75,8192,0.0,0
0,112640665,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
55501,1099705,5,964,894,964,6,6,0,0,274926.25,8192,0.0,0
55414,1364960,5,964,720,964,6,5,0,0,341240.0,8192,0.0,0
56351,31313715,1,0,0,0,6,0,1,0,0.0,211,1709.0,0
57480,11095919,1,0,0,0,6,0,1,0,0.0,211,11874.0,0
57480,1079024,5,964,911,964,6,6,0,0,269756.0,8192,0.0,0
58102,36779848,1,0,0,0,6,0,1,0,0.0,211,4138.0,0
59134,1028422,5,964,956,964,6,6,0,0,257105.5,8192,0.0,0
59449,200003,2,964,4819,964,6,9,1,0,200003.0,211,0.0,0
22,1390076,14,1255,2537,744,6,18,0,0,106928.9231,14600,0.0,0
59446,39789,1,0,0,0,6,75,1,0,0.0,211,0.0,0
59448,38255,1,0,0,0,6,78,1,0,0.0,211,0.0,0
59446,1254081,5,964,784,964,6,5,0,0,313520.25,8192,0.0,0
61186,44212107,1,0,0,0,6,0,1,0,0.0,211,1990.0,0
61186,1114332,5,964,883,964,6,6,0,0,278583.0,8192,0.0,0
0,112640695,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
62194,1076689,5,964,913,964,6,6,0,0,269172.25,8192,0.0,0
22,280684,4,0,146,0,6,21,0,0,93561.33333,29200,0.0,0
63165,1394901,5,964,705,964,6,5,0,0,348725.25,8192,0.0,0
22,3333861,16,1112,1011,272,6,9,0,0,222202.4667,28800,0.0,0
67,600,1,300,1048333,300,17,3333,0,0,0.0,-1,0.0,0
0,112641476,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
0,112641262,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
0,112640811,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
0,112640760,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
0,112640815,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
0,112640122,3,0,0,0,0,0,0,0,56300000.0,-1,0.0,0
8545,28,1,0,0,0,6,71428,0,0,0.0,1024,0.0,0
80,106020092,9,288,2,32,17,0,0,0,13300000.0,-1,0.0,0
80,99000054,17,544,5,32,17,0,0,0,6187503.375,-1,2996229.5,0
80,115008012,14,448,3,32,17,0,0,0,8846770.154,-1,2350672.0,0
80,98060002,11,352,3,32,17,0,0,0,9806000.2,-1,4500118.0,0
80,108019906,18,576,5,32,17,0,0,0,6354112.118,-1,2326573.0,0
80,109999931,13,416,3,32,17,0,0,0,9166660.917,-1,6338737.333,0
80,112999969,18,576,5,32,17,0,0,0,6647057.0,-1,2492002.75,0
80,94980434,9,288,3,32,17,0,0,0,11900000.0,-1,3028323.0,0
80,95250910,14,448,4,32,17,0,0,0,7326993.077,-1,4664699.5,0
80,118639986,11,352,2,32,17,0,0,0,11900000.0,-1,2600071.0,0
80,119419847,15,480,4,32,17,0,0,0,8529989.071,-1,8329892.5,0
80,100011957,11,352,3,32,17,0,0,0,10000000.0,-1,8979930.0,0
80,112999986,10,320,2,32,17,0,0,0,12600000.0,-1,4012053.0,0
80,113980002,14,448,3,32,17,0,0,0,8767692.462000001,-1,9995594.0,0
80,110999935,11,352,3,32,17,0,0,0,11100000.0,-1,5000062.0,0
80,114999890,23,736,6,32,17,0,0,0,5227267.727,-1,4358619.666999999,0
80,118980030,14,448,3,32,17,0,0,0,9152310.0,-1,8494012.5,0
80,101999900,12,384,3,32,17,0,0,0,9272718.182,-1,3509934.0,0
80,119999968,13,416,3,32,17,0,0,0,9999997.333,-1,4673489.0,0
80,115012052,10,320,2,32,17,0,0,0,12800000.0,-1,1979861.0,0
80,116100035,18,576,4,32,17,0,0,0,6829413.824,-1,8000738.0,0
80,89007974,8,256,2,32,17,0,0,0,12700000.0,-1,3497944.0,0
80,114007952,15,480,4,32,17,0,0,0,8143425.142999999,-1,4798416.6,0
80,105019969,13,416,3,32,17,0,0,0,8751664.082999999,-1,4245018.25,0
80,105995960,12,384,3,32,17,0,0,0,9635996.364,-1,4502600.0,0
80,107940026,18,576,5,32,17,0,0,0,6349413.294,-1,2776013.0,0
80,98007879,13,416,4,32,17,0,0,0,8167323.25,-1,3652627.333,0
